ion_position_um,intensity_mW_cm2
1.661151567856655333e+02,5.784503143948962860e-03
1.663367929920260337e+02,5.740778824698968170e-03
1.665584291983865342e+02,5.696522360175686021e-03
1.667800654047470346e+02,5.650623584957506496e-03
1.670017016111075066e+02,5.602808503385071394e-03
1.672233378174680070e+02,5.553890433813858662e-03
1.674449740238285074e+02,5.509381391192110650e-03
1.676666102301890078e+02,5.466807671817811194e-03
1.678882464365494798e+02,5.424501762082042412e-03
1.681098826429099802e+02,5.381934744913106569e-03
1.683315188492704806e+02,5.340940787779313755e-03
1.685531550556309810e+02,5.298187034715145030e-03
1.687747912619914530e+02,5.254343657095904459e-03
1.689964274683519534e+02,5.212043261521750841e-03
1.692180636747124538e+02,5.172775859673916371e-03
1.694396998810729542e+02,5.140876221671607238e-03
1.696613360874334262e+02,5.104249464154338167e-03
1.698829722937939266e+02,5.056699914453798711e-03
1.701046085001544270e+02,5.005021306455468763e-03
1.703262447065149274e+02,4.943328055099787018e-03
1.705478809128754278e+02,4.873265109358098854e-03
1.707695171192358998e+02,4.799015450375451568e-03
1.709911533255964002e+02,4.717466175169906378e-03
1.712127895319569006e+02,4.640241223492000758e-03
1.714344257383174011e+02,4.572197169632896338e-03
1.716560619446778730e+02,4.517867192136760558e-03
1.718776981510383735e+02,4.482732386089366763e-03
1.720993343573988739e+02,4.470352380425413746e-03
